YearsSinceLastPromotion,JobSatisfaction,JobLevel,JobRole,YearsInCurrentRole,WorkLifeBalance,JobInvolvement,Gender,Department,RelationshipSatisfaction,YearsAtCompany,MonthlyIncome,TrainingTimesLastYear,MaritalStatus,EnvironmentSatisfaction,Age,HourlyRate,PerformanceRating,Attrition,DistanceFromHome,OverTime,NumCompaniesWorked
3,3,5,Manager,12,1,1,Male,Finance,1,24,7332,74,Single,4,58,81,2,No,49,No,3
5,2,4,Assistant,7,1,1,Female,HR,1,18,6069,24,Divorced,4,48,55,2,No,25,Yes,1
3,5,4,Manager,4,4,3,Female,Marketing,4,6,11485,63,Married,1,34,65,1,Yes,21,Yes,1
1,1,4,Manager,9,1,1,Female,HR,4,12,18707,4,Divorced,3,27,28,2,No,46,No,2
1,4,1,Analyst,9,3,1,Male,HR,1,3,16398,62,Married,1,40,92,3,No,43,No,4
3,5,3,Executive,2,4,4,Male,Finance,3,25,7305,84,Married,2,58,63,3,Yes,4,No,3
4,3,5,Executive,3,4,4,Male,Sales,3,3,15697,98,Married,3,38,63,4,Yes,33,No,1
0,4,1,Executive,8,2,4,Female,Marketing,1,16,14506,75,Married,2,42,41,3,No,3,Yes,2
2,3,4,Analyst,10,2,1,Female,IT,3,17,18105,51,Married,3,30,95,3,No,39,Yes,4
4,4,4,Assistant,14,1,1,Male,Sales,2,16,15745,45,Divorced,4,30,53,3,No,1,Yes,4
7,4,3,Manager,3,1,3,Male,IT,4,13,5601,76,Divorced,1,43,87,3,No,34,Yes,4
3,1,4,Analyst,4,2,4,Female,Finance,1,25,13023,66,Single,3,55,50,3,Yes,10,Yes,2
5,1,5,Assistant,11,3,3,Female,Marketing,2,13,17216,75,Married,1,59,24,2,No,47,Yes,1
3,3,2,Analyst,3,2,3,Female,Finance,2,24,19911,46,Single,4,43,18,4,No,7,No,1
4,2,4,Analyst,12,2,1,Female,IT,1,12,4411,33,Divorced,4,22,99,2,Yes,22,No,3
6,4,3,Assistant,13,4,1,Male,HR,4,29,19773,19,Single,1,41,16,4,No,5,Yes,3
7,1,2,Executive,14,2,3,Female,Finance,4,2,12417,38,Divorced,1,21,93,4,No,16,Yes,2
9,2,5,Manager,2,4,4,Female,Marketing,2,26,6792,51,Married,4,43,42,4,No,41,No,4
9,3,5,Executive,1,4,3,Male,Finance,4,14,12569,49,Single,3,49,40,2,No,29,No,1
7,5,5,Analyst,3,1,3,Male,Sales,2,10,3234,67,Single,3,57,87,2,No,5,Yes,3
6,1,3,Assistant,9,4,2,Female,Finance,3,19,19497,40,Single,1,21,44,2,No,30,No,3
3,4,2,Analyst,14,2,2,Male,IT,3,23,18317,42,Single,1,40,23,3,No,34,No,1
3,1,5,Executive,8,2,4,Female,Finance,1,22,6138,48,Married,4,52,15,1,Yes,27,No,1
1,4,4,Executive,9,2,1,Female,Marketing,3,24,8159,70,Divorced,2,31,70,4,No,10,No,1
8,1,2,Executive,10,2,4,Male,Finance,4,26,19794,46,Divorced,2,41,70,1,No,48,No,4
5,3,5,Manager,5,4,1,Male,Finance,4,29,8684,56,Married,2,44,90,4,No,10,No,1
2,3,2,Executive,5,4,2,Female,Marketing,1,5,12252,66,Divorced,4,46,75,2,No,23,Yes,1
2,3,4,Manager,14,3,1,Male,Finance,2,16,3066,45,Single,4,47,59,4,No,6,Yes,3
0,3,1,Manager,8,3,4,Female,Marketing,3,5,9546,40,Married,4,35,27,1,No,27,No,2
1,3,5,Executive,14,1,3,Female,IT,2,2,16985,76,Divorced,2,34,28,1,No,14,No,3
4,4,4,Assistant,13,2,2,Female,Marketing,4,6,11187,28,Married,1,22,24,4,Yes,48,Yes,2
8,4,3,Analyst,5,1,4,Male,IT,3,28,15169,40,Married,1,56,31,4,Yes,23,No,3
2,5,5,Analyst,4,4,3,Female,IT,2,12,16363,84,Divorced,4,26,31,3,Yes,34,No,2
6,3,1,Manager,9,4,1,Female,Marketing,4,27,13665,45,Divorced,1,40,45,3,No,17,No,3
5,2,4,Manager,1,2,2,Female,Finance,4,13,7304,24,Married,1,28,60,1,No,34,No,1
2,4,4,Manager,6,1,2,Male,Sales,2,13,5010,2,Married,4,58,63,3,No,31,No,1
3,4,2,Analyst,7,4,3,Female,Marketing,3,27,19000,29,Divorced,3,37,89,3,No,22,Yes,1
4,5,5,Manager,14,4,4,Female,Finance,1,21,18537,85,Married,4,23,94,1,Yes,5,Yes,1
1,4,1,Assistant,6,4,4,Female,IT,2,25,4888,1,Divorced,4,44,32,4,No,9,No,3
7,1,3,Assistant,12,2,2,Male,HR,4,14,19752,8,Married,1,33,89,3,No,18,No,4
6,4,2,Manager,10,3,4,Female,Sales,3,19,4762,57,Married,4,28,25,2,Yes,21,No,2
8,1,5,Analyst,8,3,2,Female,Finance,4,15,19760,3,Married,1,45,87,2,No,45,No,1
7,5,1,Executive,11,4,2,Male,Sales,1,21,3002,71,Divorced,3,21,69,4,No,6,No,2
6,1,2,Analyst,8,2,2,Male,HR,1,3,3763,18,Single,2,39,17,1,No,44,No,1
8,2,1,Executive,5,1,3,Female,HR,4,9,18754,84,Divorced,2,47,92,1,No,29,Yes,1
9,4,1,Executive,13,4,3,Female,HR,2,25,5482,13,Married,1,26,30,2,Yes,19,Yes,3
4,2,2,Manager,12,2,2,Female,Marketing,1,10,13921,0,Single,4,27,23,3,No,47,Yes,1
2,3,2,Assistant,13,4,1,Male,Sales,4,29,16054,19,Single,4,54,82,1,No,39,Yes,3
5,5,5,Manager,4,4,1,Male,Marketing,1,7,5475,82,Married,1,33,59,3,No,46,Yes,1
8,5,2,Executive,11,2,1,Female,HR,1,14,9049,79,Divorced,2,36,16,3,No,4,Yes,1
5,4,5,Manager,7,2,3,Male,Finance,2,17,12256,73,Single,3,55,36,4,No,44,No,1
2,4,1,Executive,9,4,1,Female,HR,2,25,8997,65,Single,1,59,83,1,Yes,39,Yes,1
1,5,2,Manager,13,3,4,Female,Marketing,1,14,10424,64,Divorced,2,23,63,2,No,41,Yes,4
4,4,5,Assistant,2,1,1,Male,HR,3,25,9786,7,Divorced,4,21,35,2,Yes,34,No,4
7,1,5,Assistant,12,3,4,Female,HR,2,10,16413,8,Single,4,25,88,2,Yes,44,Yes,1
7,1,3,Analyst,7,2,2,Male,Marketing,2,5,14084,38,Divorced,1,23,69,4,No,3,Yes,3
0,1,5,Executive,6,1,2,Male,Marketing,4,27,7465,63,Single,1,48,18,4,No,46,No,3
2,5,5,Executive,3,1,2,Female,Finance,4,18,7946,56,Married,3,37,72,2,No,28,No,2
4,5,3,Manager,2,4,3,Male,Marketing,2,29,13514,81,Divorced,1,45,84,4,Yes,12,Yes,3
0,2,4,Analyst,1,3,4,Female,Finance,3,17,11238,14,Single,3,53,73,2,No,10,No,3
5,3,2,Assistant,2,2,1,Male,IT,1,18,6661,79,Divorced,3,29,40,2,No,13,No,1
3,4,3,Manager,12,2,4,Female,IT,3,4,5564,84,Divorced,1,55,88,3,Yes,29,Yes,4
8,5,5,Analyst,5,1,3,Female,Marketing,4,20,7927,24,Single,3,33,83,2,No,46,No,1
1,2,5,Assistant,1,3,1,Female,HR,1,1,13858,87,Married,1,50,53,1,No,23,No,3
9,3,2,Manager,8,3,3,Male,Sales,3,13,18295,15,Single,4,34,15,4,No,23,No,2
4,1,1,Assistant,4,2,4,Female,HR,1,29,4452,48,Divorced,3,27,71,1,No,27,Yes,4
4,4,3,Executive,3,3,2,Male,Marketing,1,24,9179,72,Single,4,33,62,2,No,44,Yes,4
5,5,4,Analyst,10,1,3,Male,Finance,4,10,5454,78,Divorced,2,42,86,2,No,6,Yes,3
4,2,2,Assistant,2,2,2,Male,HR,3,28,7060,47,Single,3,59,35,1,No,19,No,2
9,1,2,Analyst,1,4,1,Male,IT,4,15,17747,76,Married,4,40,45,1,No,25,Yes,1
9,3,3,Manager,8,4,1,Male,Marketing,4,24,14955,59,Married,2,35,72,4,Yes,13,No,3
8,2,5,Analyst,9,1,4,Female,HR,1,24,11970,60,Married,3,37,61,1,No,11,No,2
0,3,5,Manager,3,3,4,Male,HR,4,5,17226,43,Married,4,43,37,2,No,46,No,2
7,5,4,Analyst,3,2,3,Female,Finance,3,26,16119,23,Single,4,45,89,4,No,6,No,2
5,2,3,Manager,9,1,3,Female,Finance,2,18,16384,50,Married,4,44,94,4,No,46,No,1
8,4,2,Manager,7,2,1,Male,Finance,1,4,4601,32,Single,4,48,21,1,No,19,Yes,4
9,1,3,Manager,12,2,3,Female,Sales,3,1,6843,11,Divorced,2,34,63,2,No,23,No,3
6,2,1,Assistant,12,1,2,Female,Marketing,1,10,18744,9,Divorced,2,20,45,4,Yes,32,Yes,1
2,5,2,Executive,9,4,2,Male,Marketing,2,17,6675,30,Divorced,1,44,61,2,No,43,No,2
7,5,4,Analyst,2,2,2,Female,IT,1,28,15049,55,Married,4,26,82,2,No,49,Yes,1
9,3,4,Executive,7,2,3,Male,IT,3,26,4005,3,Married,3,28,49,2,No,21,No,4
2,3,2,Executive,14,2,4,Male,Marketing,4,3,3231,35,Married,4,43,89,1,No,36,No,3
2,4,5,Executive,13,1,4,Male,HR,3,4,14845,9,Divorced,1,20,48,3,Yes,26,No,3
3,5,2,Executive,8,1,4,Female,Marketing,2,12,19374,66,Divorced,4,27,72,4,No,23,No,4
2,5,2,Analyst,11,4,3,Female,Sales,3,27,19230,21,Divorced,2,43,29,4,No,24,No,3
5,5,1,Analyst,4,2,3,Female,IT,4,28,18389,84,Divorced,1,30,92,4,No,8,Yes,1
6,1,2,Executive,13,1,1,Female,IT,2,11,7970,37,Single,3,36,99,3,No,4,No,4
2,1,3,Analyst,10,2,2,Male,IT,2,3,18092,45,Single,4,27,85,4,No,16,No,2
2,5,3,Analyst,11,4,4,Male,Marketing,3,28,12089,66,Married,2,54,95,3,No,20,Yes,4
6,1,4,Manager,4,3,2,Female,IT,2,11,17867,28,Married,1,54,56,1,Yes,21,No,1
9,5,5,Analyst,12,3,1,Male,IT,3,3,10882,50,Divorced,3,52,32,1,No,49,No,3
8,3,4,Assistant,2,3,4,Female,Marketing,1,24,11343,59,Single,2,24,92,2,Yes,40,Yes,1
2,3,1,Executive,2,4,4,Male,HR,2,4,19555,58,Single,2,58,52,4,No,48,No,3
5,1,2,Analyst,4,1,2,Male,IT,3,3,8524,4,Married,2,47,78,4,No,47,Yes,2
4,3,4,Executive,4,2,3,Male,IT,1,25,4429,2,Single,3,26,43,4,No,31,Yes,1
7,3,2,Analyst,5,1,1,Male,IT,4,12,6199,63,Married,2,28,24,3,No,8,Yes,4
8,4,4,Executive,10,3,3,Male,Sales,2,12,13090,93,Divorced,4,27,31,1,No,35,No,4
7,4,2,Assistant,14,3,3,Female,Marketing,4,17,10432,46,Divorced,3,31,46,2,No,29,Yes,3
0,5,4,Analyst,10,2,3,Female,IT,3,24,17069,39,Married,3,53,75,2,No,6,Yes,2
6,2,3,Analyst,13,2,2,Male,Sales,2,21,19483,7,Divorced,3,52,98,2,No,11,No,2
7,2,1,Assistant,10,4,2,Female,HR,2,8,16875,55,Divorced,4,42,95,4,Yes,25,No,2
4,4,4,Analyst,9,2,1,Male,HR,2,10,16196,76,Single,4,43,60,4,No,4,Yes,2
3,5,3,Executive,11,1,1,Male,Sales,1,16,19970,53,Single,3,56,85,2,No,41,No,4
6,4,5,Assistant,9,1,4,Male,HR,4,19,14159,83,Single,1,54,70,2,No,31,No,1
5,3,4,Manager,7,2,1,Male,Finance,1,15,19639,76,Single,1,59,75,2,No,30,No,3
1,5,2,Executive,6,1,1,Female,HR,1,22,6007,5,Single,3,41,58,1,No,18,Yes,3
8,5,1,Analyst,10,1,4,Male,Finance,4,11,16966,73,Married,4,46,52,4,No,34,No,2
2,2,3,Executive,5,3,4,Female,Sales,4,7,16696,52,Married,2,54,64,2,No,39,No,3
